,LATITUDE,LONGITUDE,DATE,TIME,YEAR,ACCIDENT LANE,District,INTERSECTION,VICTIM,VICTIM AGE,VEHTYPE,DRIVACT,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,Cause,Neighbourh
0,43.816245,-79.22759,2012-01-12T05:00:00.000Z,558,2012,Minor Arterial,Scarborough,Intersection,Pedestrian,40 to 44,Other, ,Yes, ,Yes, , ,Rain,Malvern (132)
1,43.637614,-79.447742,2013-11-29T05:00:00.000Z,558,2013,Major Arterial,Toronto and East York,Mid-Block,Driver,25 to 29,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Speeding,South Parkdale (85)
2,43.716772999999996,-79.259883,2018-06-14T04:00:00.000Z,558,2018,Major Arterial,Scarborough,Intersection,Motorcycle Driver,55 to 59,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Clairlea-Birchmount (120)
3,43.821345,-79.31689,2010-04-13T04:00:00.000Z,559,2010,Major Arterial,Scarborough,Intersection,Passenger,70 to 74,Other, , , ,Yes, , ,Unknown,Steeles (116)
4,43.728128999999996,-79.574641,2014-11-09T05:00:00.000Z,559,2014,Major Arterial,Etobicoke York,Intersection,Passenger,20 to 24, , , , ,Yes, , ,Unknown,Rexdale-Kipling (4)
5,43.758047999999995,-79.51343100000001,2014-11-21T05:00:00.000Z,600,2014,Major Arterial,Etobicoke York,Intersection,Pedestrian,60 to 64, , ,Yes, ,Yes, , ,Unknown,Glenfield-Jane Heights (25)
6,43.801421000000005,-79.263774,2015-11-24T05:00:00.000Z,603,2015,Major Arterial,Scarborough,Intersection,Pedestrian,25 to 29, , ,Yes, ,Yes, , ,Speeding,Agincourt North (129)
7,43.652745,-79.43739000000001,2011-08-16T04:00:00.000Z,606,2011,Laneway,Toronto and East York,"Park, Private Property, Public Lane",Driver,55 to 59,"Automobile, Station Wagon",Other, , ,Yes, , ,Unknown,Dufferin Grove (83)
8,43.699228999999995,-79.58712299999999,2014-05-21T04:00:00.000Z,610,2014,Major Arterial,Etobicoke York,Intersection,Driver,40 to 44,"Automobile, Station Wagon",Driving Properly, , ,Yes, , ,Unknown,West Humber-Clairville (1)
9,43.664164,-79.326206,2015-09-18T04:00:00.000Z,610,2015,Minor Arterial,Toronto and East York,Intersection,Motorcycle Driver,35 to 39,Motorcycle,Lost control, , , ,Yes, ,Lost control,Greenwood-Coxwell (65)
10,43.640547,-79.423999,2013-06-16T04:00:00.000Z,616,2013,Local,Toronto and East York,Mid-Block,Driver,40 to 44,"Automobile, Station Wagon",Other, , ,Yes, , ,Rain,South Parkdale (85)
11,43.765433,-79.29131600000001,2015-01-28T05:00:00.000Z,617,2015,Major Arterial,Scarborough,Mid-Block,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Unknown,Dorset Park (126)
12,43.655387,-79.379863,2014-09-10T04:00:00.000Z,620,2014,Laneway,Toronto and East York,Mid-Block,Pedestrian,25 to 29, , ,Yes, , , ,Yes,Unknown,Church-Yonge Corridor (75)
13,43.805159,-79.20087,2015-10-06T04:00:00.000Z,621,2015,Major Arterial,Scarborough,Mid-Block,Driver,50 to 54,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Malvern (132)
14,43.637206,-79.469287,2018-10-01T04:00:00.000Z,622,2018,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,50 to 54, , ,Yes, , , , ,Unknown,High Park-Swansea (87)
15,43.675101,-79.394183,2018-12-22T05:00:00.000Z,623,2018,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,50 to 54, , ,Yes, ,Yes, , ,Speeding,Annex (95)
16,43.702545,-79.27699,2009-11-24T05:00:00.000Z,630,2009,Minor Arterial,Scarborough,Intersection,Pedestrian,45 to 49,Other, ,Yes, ,Yes, , ,Rain,Clairlea-Birchmount (120)
17,43.645445,-79.39499,2011-10-21T04:00:00.000Z,630,2011,Major Arterial,Toronto and East York,Intersection,Pedestrian,25 to 29,Other, ,Yes, , , ,Yes,Unknown,Waterfront Communities-The Island (77)
18,43.796763,-79.315753,2016-08-30T04:00:00.000Z,630,2016,Major Arterial,Scarborough,Intersection,Passenger,25 to 29, , , , ,Yes, , ,Unknown,L'Amoreaux (117)
19,43.639189,-79.45055699999999,2015-09-24T04:00:00.000Z,636,2015,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,75 to 79, , ,Yes, ,Yes, , ,Unknown,High Park-Swansea (87)
