,Category,Population,Neighborhood Mean Income,Lat,Long
0,Agincourt North,"29,113",52532.7405,43.8080532,-79.2665016
1,Agincourt South-Malvern West,"23,757",50550.17153,43.788009,-79.283882
2,Alderwood,"12,054",55229.3666,43.6017103,-79.5452384
3,Annex,"30,526",45009.96767,43.6698329,-79.407585
4,Banbury-Don Mills,"27,695",52962.59704,43.7491152,-79.3663593
5,Bathurst Manor,"15,873",51490.37139,43.7628188,-79.4568978
6,Bay Street Corridor,"25,797",36986.98885,43.6641656,-79.3867054
7,Bayview Village,"21,396",47806.22977,43.778243,-79.3827578
8,Bayview Woods-Steeles,"13,154",51940,43.7948077,-79.3825152
9,Bedford Park-Nortown,"23,236",51846.79666,43.7245589,-79.4164645
10,Beechborough-Greenbrook,"6,577",44971.88264,43.6943212,-79.4747947
11,Bendale,"29,960",49319.33594,43.765434,-79.248935
12,Birchcliffe-Cliffside,"22,291",49733.90752,43.712217,-79.244001
13,Black Creek,"21,737",47065.72165,43.6970148,-79.4869483
14,Blake-Jones,"7,727",45625.72254,43.6758626,-79.3381065
15,Briar Hill-Belgravia,"14,257",50919.03585,43.7037136,-79.4524023
16,Bridle Path-Sunnybrook-York Mills,"9,266",52680.72289,43.7359137,-79.3718986
17,Broadview North,"11,499",47283.43558,43.6885292,-79.3532778
18,Brookhaven-Amesbury,"17,757",48514.67611,43.6969489,-79.493829
19,Cabbagetown-South St. James Town,"11,669",46775.34418,43.6584787,-79.3676753
20,Caledonia-Fairbank,"9,955",51836.97813,43.6899015,-79.4551573
21,Casa Loma,"10,968",50571.95572,43.6780371,-79.4094439
22,Centennial Scarborough,"13,362",62990.19608,43.7816836,-79.1483269
23,Church-Yonge Corridor,"31,340",44761.74008,43.6728576,-79.3878391
24,Clairlea-Birchmount,"26,984",52595.95142,43.7162053,-79.2828424
25,Clanton Park,"16,472",51768.89715,43.7487463,-79.4466612
26,Cliffcrest,"15,935",51135.83815,43.724917,-79.226329
27,Corso Italia-Davenport,"14,133",51224.38672,43.6773705,-79.4461276
28,Danforth,"9,666",48486.65049,43.6837565,-79.3212058
29,Danforth East York,"17,180",51215.02591,43.6837565,-79.3212058
30,Don Valley Village,"27,051",50402.04678,43.787359,-79.353003
31,Dorset Park,"25,003",51208.04598,43.7658308,-79.281111
32,Dovercourt-Wallace Emerson-Junction,"36,625",50006.45482,43.6684011,-79.4405951
33,Downsview-Roding-CFB,"35,052",50128.0295,43.7297908,-79.4923455
34,Dufferin Grove,"11,785",49113.42282,43.6558326,-79.4281914
35,East End-Danforth,"21,381",45955.27307,43.6781823,-79.309632
36,Edenbridge-Humber Valley,"15,535",53910.71429,43.667113,-79.527974
37,Eglinton East,"22,776",49322.68632,43.7248331,-79.3051082
38,Elms-Old Rexdale,"9,456",51601.47992,43.7237117,-79.5488603
39,Englemount-Lawrence,"22,372",48390.21043,43.718533,-79.4394459
40,Eringate-Centennial-West Deane,"18,588",57200,43.6599082,-79.5833168
41,Etobicoke West Mall,"11,848",52386.39876,43.6451146,-79.5687728
42,Flemingdon Park,"21,933",47933.41404,43.7183725,-79.3313903
43,Forest Hill North,"12,806",49934.04908,43.7052493,-79.4263764
44,Forest Hill South,"10,732",49849.07598,43.6932316,-79.412602
45,Glenfield-Jane Heights,"30,491",49170.35547,43.7068222,-79.3043398
46,Greenwood-Coxwell,"14,417",48055.71031,43.6720554,-79.3228164
47,Guildwood,"9,917",56955.15695,43.752743,-79.192777
48,Henry Farm,"15,723",47646.6877,43.7695834,-79.3465239
49,High Park North,"22,162",49244.03471,43.6572262,-79.4668306
50,High Park-Swansea,"23,925",52348.3977,43.6535556,-79.4652576
51,Highland Creek,"12,494",57164.28571,43.7901215,-79.1733924
52,Hillcrest Village,"16,934",49728.90733,43.804877,-79.35469
53,Humber Heights-Westmount,"10,948",52758.55513,43.6963578,-79.527033
54,Humber Summit,"12,416",51790.12346,43.7601003,-79.5717846
55,Humbermede,"15,545",51441.13757,43.7389945,-79.5394081
56,Humewood-Cedarvale,"14,365",47367.11165,43.694479,-79.428056
57,Ionview,"13,641",49362.73292,43.730824,-79.2739
58,Islington-City Centre West,"43,965",53154.48162,43.6309156,-79.5434841
59,Junction Area,"14,366",51640.81633,43.6655088,-79.4721328
60,Keelesdale-Eglinton West,"11,058",49870.20906,43.6854647,-79.470432
61,Kennedy Park,"17,123",46705.64103,43.7248777,-79.2539764
62,Kensington-Chinatown,"17,945",41597.22222,43.6539432,-79.4004035
63,Kingsview Village-The Westway,"22,000",51652.85205,43.7005039,-79.5519144
64,Kingsway South,"9,271",56849.79424,43.652674,-79.507194
65,Lambton Baby Point,"7,985",45856.6879,43.6560422,-79.4942916
66,L'Amoreaux,"43,993",50271.88831,43.7967612,-79.3157737
67,Lansing-Westgate,"16,164",48309.29919,43.7589653,-79.4225602
68,Lawrence Park North,"14,607",53845.43011,43.7237857,-79.38865
69,Lawrence Park South,"15,179",50634.08521,43.7121368,-79.4116873
70,Leaside-Bennington,"16,828",52616.83168,43.7131145,-79.3671322
71,Little Portugal,"15,559",51497.02085,43.6475952,-79.430763
72,Long Branch,"10,084",49776.77225,43.593421,-79.538164
73,Malvern,"43,794",53864.39355,43.80916,-79.22169
74,Maple Leaf,"10,111",52266.53307,43.6432961,-79.3783071
75,Markland Wood,"10,554",56188.95966,43.6335688,-79.570763
76,Milliken,"26,572",53108.94386,43.8259985,-79.2973125
